Indicator ID,Dimension List,Timeframe,Numeric Value,Missing Value Flag,Confidence Interval Low,Confidence Interval High,Standard Error,LocaleID,Locale,Locale Level,Locale State FIPS Code,Locale County FIPS Code,Locale County SSA Code,Locale HRR Code,Total,Age,Sex,Race Ethnicity,Income And Poverty Status,Educational Attainment,Health Insurance Status,Sexual Orientation,Marital Status,Family Type,Veteran Status,Country Of Birth,Disability Status,Obesity Status,Characteristic Of School Or Student,Other,Geography,Modifier1,Modifier2,Modifier3,Modifier4,Modifier5,Numerator,Denominator
416484936,"Total","2014","11.5",,"10.9","12.1","0.3",9,"Connecticut","State","09","9",,,"Total",,,,,,,,,,,,,,,,,,,,,,"1420","123357"
416484937,"Aged 15-17 years (Of mother)","2014","5.5",,"5.0","6.0","0.3",9,"Connecticut","State","09","9",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"391","71118"
416484938,"Aged 18-19 years (Of mother)","2014","19.7",,"18.5","20.9","0.6",9,"Connecticut","State","09","9",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"1029","52239"
416484945,"Aged 15-17 years; Hispanic or Latino (Of mother)","2014","17.1",,"14.9","19.3","1.1",9,"Connecticut","State","09","9",,,,"Aged 15-17 years",,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"234","13659"
416484939,"Aged 18-19 years; Hispanic or Latino (Of mother)","2014","52.5",,"47.9","57.2","2.4",9,"Connecticut","State","09","9",,,,"Aged 18-19 years",,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"487","9273"
416484947,"Aged 15-17 years; Non-Hispanic White (Of mother)","2014","DSU","DSU",,,,9,"Connecticut","State","09","9",,,,"Aged 15-17 years",,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,,"45238"
416484944,"Aged 18-19 years; Non-Hispanic White (Of mother)","2014","DSU","DSU",,,,9,"Connecticut","State","09","9",,,,"Aged 18-19 years",,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,,"34169"
416484943,"Aged 15-17 years; Non-Hispanic Black (Of mother)","2014","DSU","DSU",,,,9,"Connecticut","State","09","9",,,,"Aged 15-17 years",,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,,"8702"
416484946,"Aged 18-19 years; Non-Hispanic Black (Of mother)","2014","DSU","DSU",,,,9,"Connecticut","State","09","9",,,,"Aged 18-19 years",,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,,"6212"
416484940,"Hispanic or Latino (Of mother)","2014","31.4",,"29.1","33.7","1.2",9,"Connecticut","State","09","9",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"721","22932"
416484941,"Non-Hispanic White (Of mother)","2014","DSU","DSU",,,,9,"Connecticut","State","09","9",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,,"79407"
416484942,"Non-Hispanic Black (Of mother)","2014","DSU","DSU",,,,9,"Connecticut","State","09","9",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,,"14914"
416487306,"Total","2014","9.3",,"8.3","10.4","0.5",409,"Connecticut - Fairfield","County","09","9001",,,"Total",,,,,,,,,,,,,,,,,,,,,,"307","32927"
416487307,"Aged 15-17 years (Of mother)","2014","4.4",,"3.5","5.4","0.5",409,"Connecticut - Fairfield","County","09","9001",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"87","19961"
416487308,"Aged 18-19 years (Of mother)","2014","17.0",,"14.7","19.2","1.1",409,"Connecticut - Fairfield","County","09","9001",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"220","12966"
416487309,"Hispanic or Latino (Of mother)","2014","27.7",,"23.7","31.6","2.0",409,"Connecticut - Fairfield","County","09","9001",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"186","6725"
416487310,"Non-Hispanic White (Of mother)","2014","DSU","DSU",,,,409,"Connecticut - Fairfield","County","09","9001",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,,"20589"
416487311,"Non-Hispanic Black (Of mother)","2014","DSU","DSU",,,,409,"Connecticut - Fairfield","County","09","9001",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,,"4098"
416487312,"Total","2014","14.8",,"13.4","16.2","0.7",410,"Connecticut - Hartford","County","09","9003",,,"Total",,,,,,,,,,,,,,,,,,,,,,"435","29413"
416487313,"Aged 15-17 years (Of mother)","2014","6.8",,"5.6","8.0","0.6",410,"Connecticut - Hartford","County","09","9003",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"120","17741"
416487314,"Aged 18-19 years (Of mother)","2014","27.0",,"24.0","30.0","1.5",410,"Connecticut - Hartford","County","09","9003",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"315","11672"
416487315,"Hispanic or Latino (Of mother)","2014","38.6",,"33.8","43.3","2.4",410,"Connecticut - Hartford","County","09","9003",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"253","6560"
416487316,"Non-Hispanic White (Of mother)","2014","DSU","DSU",,,,410,"Connecticut - Hartford","County","09","9003",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,,"16767"
416487317,"Non-Hispanic Black (Of mother)","2014","DSU","DSU",,,,410,"Connecticut - Hartford","County","09","9003",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,,"4557"
416487318,"Total","2014","7.9",,"5.7","10.6","1.2",411,"Connecticut - Litchfield","County","09","9005",,,"Total",,,,,,,,,,,,,,,,,,,,,,"44","5563"
416487319,"Aged 15-17 years (Of mother)","2014","DSU","DSU",,,,411,"Connecticut - Litchfield","County","09","9005",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,,"3608"
416487320,"Aged 18-19 years (Of mother)","2014","18.4",,"12.9","25.5","3.1",411,"Connecticut - Litchfield","County","09","9005",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"36","1955"
416487321,"Hispanic or Latino (Of mother)","2014","DSU","DSU",,,,411,"Connecticut - Litchfield","County","09","9005",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,,"461"
416487322,"Non-Hispanic White (Of mother)","2014","DSU","DSU",,,,411,"Connecticut - Litchfield","County","09","9005",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,,"4817"
